"VoteNumber","SenNumber","SenatorUpper","Vote","Party","GovCoalition","State","FP","Origin","Contentious","PercentYes","IndGov","VoteType","Content","Round"
2007001,"PRS0002/07","MARIO COUTO","S","PSDB",FALSE,"PA",2,11,0,85.45454545,"S",1,"Creates the Senate Commission of Science, Technology, Innovation, Communication, and Information Technology (CCT).",1
2007001,"PRS0002/07","PAULO DUQUE","S","PMDB",TRUE,"RJ",2,11,0,85.45454545,"S",1,"Creates the Senate Commission of Science, Technology, Innovation, Communication, and Information Technology (CCT).",1
2007001,"PRS0002/07","ADELMIR SANTANA","S","PFL/DEM",FALSE,"DF",2,11,0,85.45454545,"S",1,"Creates the Senate Commission of Science, Technology, Innovation, Communication, and Information Technology (CCT).",1
2007001,"PRS0002/07","MARCONI PERILLO","N","PSDB",FALSE,"GO",2,11,0,85.45454545,"S",1,"Creates the Senate Commission of Science, Technology, Innovation, Communication, and Information Technology (CCT).",1
2007001,"PRS0002/07","AUGUSTO BOTELHO","S","PT",TRUE,"RR",2,11,0,85.45454545,"S",1,"Creates the Senate Commission of Science, Technology, Innovation, Communication, and Information Technology (CCT).",1
2007001,"PRS0002/07","SERYS SLHESSARENKO","S","PT",TRUE,"MT",2,11,0,85.45454545,"S",1,"Creates the Senate Commission of Science, Technology, Innovation, Communication, and Information Technology (CCT).",1
2007001,"PRS0002/07","ANTONIO CARLOS VALADARES","S","PSB",TRUE,"SE",2,11,0,85.45454545,"S",1,"Creates the Senate Commission of Science, Technology, Innovation, Communication, and Information Technology (CCT).",1
2007001,"PRS0002/07","JOSE AGRIPINO","S","PFL/DEM",FALSE,"RN",2,11,0,85.45454545,"S",1,"Creates the Senate Commission of Science, Technology, Innovation, Communication, and Information Technology (CCT).",1
2007001,"PRS0002/07","TASSO JEREISSATI","S","PSDB",FALSE,"CE",2,11,0,85.45454545,"S",1,"Creates the Senate Commission of Science, Technology, Innovation, Communication, and Information Technology (CCT).",1
2007001,"PRS0002/07","MARISA SERRANO","N","PSDB",FALSE,"MS",2,11,0,85.45454545,"S",1,"Creates the Senate Commission of Science, Technology, Innovation, Communication, and Information Technology (CCT).",1
2007001,"PRS0002/07","CRISTOVAM BUARQUE","A","PDT",FALSE,"DF",2,11,0,85.45454545,"S",1,"Creates the Senate Commission of Science, Technology, Innovation, Communication, and Information Technology (CCT).",1
2007001,"PRS0002/07","ROSEANA SARNEY","S","PMDB",TRUE,"MA",2,11,0,85.45454545,"S",1,"Creates the Senate Commission of Science, Technology, Innovation, Communication, and Information Technology (CCT).",1
2007001,"PRS0002/07","RENATO CASAGRANDE","S","PSB",TRUE,"ES",2,11,0,85.45454545,"S",1,"Creates the Senate Commission of Science, Technology, Innovation, Communication, and Information Technology (CCT).",1
2007001,"PRS0002/07","SERGIO ZAMBIASI","S","PTB",TRUE,"RS",2,11,0,85.45454545,"S",1,"Creates the Senate Commission of Science, Technology, Innovation, Communication, and Information Technology (CCT).",1
2007001,"PRS0002/07","EDUARDO AZEREDO","S","PSDB",FALSE,"MG",2,11,0,85.45454545,"S",1,"Creates the Senate Commission of Science, Technology, Innovation, Communication, and Information Technology (CCT).",1
2007001,"PRS0002/07","INACIO ARRUDA","S","PCdoB",TRUE,"CE",2,11,0,85.45454545,"S",1,"Creates the Senate Commission of Science, Technology, Innovation, Communication, and Information Technology (CCT).",1
2007001,"PRS0002/07","CESAR BORGES","S","PFL/DEM",FALSE,"BA",2,11,0,85.45454545,"S",1,"Creates the Senate Commission of Science, Technology, Innovation, Communication, and Information Technology (CCT).",1
2007001,"PRS0002/07","ROMERO JUCA","S","PMDB",TRUE,"RR",2,11,0,85.45454545,"S",1,"Creates the Senate Commission of Science, Technology, Innovation, Communication, and Information Technology (CCT).",1
2007001,"PRS0002/07","PATRICIA SABOYA","S","PSB",TRUE,"CE",2,11,0,85.45454545,"S",1,"Creates the Senate Commission of Science, Technology, Innovation, Communication, and Information Technology (CCT).",1
2007001,"PRS0002/07","EPITACIO CAFETEIRA","S","PTB",TRUE,"MA",2,11,0,85.45454545,"S",1,"Creates the Senate Commission of Science, Technology, Innovation, Communication, and Information Technology (CCT).",1
2007001,"PRS0002/07","PRESIDENT LULA","S","PT",TRUE,NA,2,11,0,85.45454545,"S",1,"Creates the Senate Commission of Science, Technology, Innovation, Communication, and Information Technology (CCT).",1
2007001,"PRS0002/07","JOSE MARANHAO","S","PMDB",TRUE,"PB",2,11,0,85.45454545,"S",1,"Creates the Senate Commission of Science, Technology, Innovation, Communication, and Information Technology (CCT).",1
2007001,"PRS0002/07","LUCIA VANIA","S","PSDB",FALSE,"GO",2,11,0,85.45454545,"S",1,"Creates the Senate Commission of Science, Technology, Innovation, Communication, and Information Technology (CCT).",1
2007001,"PRS0002/07","JOAO VICENTE CLAUDINO","S","PTB",TRUE,"PI",2,11,0,85.45454545,"S",1,"Creates the Senate Commission of Science, Technology, Innovation, Communication, and Information Technology (CCT).",1
2007001,"PRS0002/07","DEMOSTENES TORRES","S","PFL/DEM",FALSE,"GO",2,11,0,85.45454545,"S",1,"Creates the Senate Commission of Science, Technology, Innovation, Communication, and Information Technology (CCT).",1
2007001,"PRS0002/07","HERACLITO FORTES","S","PFL/DEM",FALSE,"PI",2,11,0,85.45454545,"S",1,"Creates the Senate Commission of Science, Technology, Innovation, Communication, and Information Technology (CCT).",1
2007001,"PRS0002/07","KATIA ABREU","S","PFL/DEM",FALSE,"TO",2,11,0,85.45454545,"S",1,"Creates the Senate Commission of Science, Technology, Innovation, Communication, and Information Technology (CCT).",1
2007001,"PRS0002/07","JOAQUIM RORIZ","S","PMDB",TRUE,"DF",2,11,0,85.45454545,"S",1,"Creates the Senate Commission of Science, Technology, Innovation, Communication, and Information Technology (CCT).",1
2007001,"PRS0002/07","FERNANDO COLLOR","S","PTB",TRUE,"AL",2,11,0,85.45454545,"S",1,"Creates the Senate Commission of Science, Technology, Innovation, Communication, and Information Technology (CCT).",1
2007002,"PLS0229/06","JOAO DURVAL","S","PDT",FALSE,"BA",2,11,0,98.18181818,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",1
2007002,"PLS0229/06","EDUARDO SUPLICY","S","PT",TRUE,"SP",2,11,0,98.18181818,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",1
2007002,"PLS0229/06","OSMAR DIAS","S","PDT",FALSE,"PR",2,11,0,98.18181818,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",1
2007002,"PLS0229/06","PRESIDENT LULA","S","PT",TRUE,NA,2,11,0,98.18181818,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",1
2007002,"PLS0229/06","GERALDO MESQUITA JUNIOR","S","PMDB",TRUE,"AC",2,11,0,98.18181818,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",1
2007002,"PLS0229/06","FLEXA RIBEIRO","S","PSDB",FALSE,"PA",2,11,0,98.18181818,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",1
2007002,"PLS0229/06","EDISON LOBAO","S","PFL/DEM",FALSE,"MA",2,11,0,98.18181818,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",1
2007002,"PLS0229/06","INACIO ARRUDA","S","PCdoB",TRUE,"CE",2,11,0,98.18181818,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",1
2007002,"PLS0229/06","EDUARDO AZEREDO","S","PSDB",FALSE,"MG",2,11,0,98.18181818,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",1
2007002,"PLS0229/06","AUGUSTO BOTELHO","S","PT",TRUE,"RR",2,11,0,98.18181818,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",1
2007002,"PLS0229/06","RENATO CASAGRANDE","S","PSB",TRUE,"ES",2,11,0,98.18181818,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",1
2007002,"PLS0229/06","LEOMAR DE MELO QUINTANILHA","S","PMDB",TRUE,"TO",2,11,0,98.18181818,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",1
2007002,"PLS0229/06","EPITACIO CAFETEIRA","S","PTB",TRUE,"MA",2,11,0,98.18181818,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",1
2007002,"PLS0229/06","CICERO LUCENA","S","PSDB",FALSE,"PB",2,11,0,98.18181818,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",1
2007002,"PLS0229/06","JARBAS VASCONCELOS","S","PMDB",TRUE,"PE",2,11,0,98.18181818,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",1
2007002,"PLS0229/06","MARIO COUTO","S","PSDB",FALSE,"PA",2,11,0,98.18181818,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",1
2007002,"PLS0229/06","WELLINGTON SALGADO","S","PMDB",TRUE,"MG",2,11,0,98.18181818,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",1
2007002,"PLS0229/06","FRANCISCO DORNELLES","S","PP",TRUE,"RJ",2,11,0,98.18181818,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",1
2007002,"PLS0229/06","CESAR BORGES","S","PFL/DEM",FALSE,"BA",2,11,0,98.18181818,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",1
2007002,"PLS0229/06","CRISTOVAM BUARQUE","S","PDT",FALSE,"DF",2,11,0,98.18181818,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",1
2007002,"PLS0229/06","MARCONI PERILLO","S","PSDB",FALSE,"GO",2,11,0,98.18181818,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",1
2007002,"PLS0229/06","KATIA ABREU","S","PFL/DEM",FALSE,"TO",2,11,0,98.18181818,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",1
2007002,"PLS0229/06","DEMOSTENES TORRES","S","PFL/DEM",FALSE,"GO",2,11,0,98.18181818,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",1
2007002,"PLS0229/06","ALOIZIO MERCADANTE","S","PT",TRUE,"SP",2,11,0,98.18181818,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",1
2007002,"PLS0229/06","RAIMUNDO COLOMBO","S","PFL/DEM",FALSE,"SC",2,11,0,98.18181818,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",1
2007002,"PLS0229/06","PAULO DUQUE","S","PMDB",TRUE,"RJ",2,11,0,98.18181818,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",1
2007002,"PLS0229/06","EXPEDITO JUNIOR","S","PR",TRUE,"RO",2,11,0,98.18181818,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",1
2007002,"PLS0229/06","NEUTO DE CONTO","S","PMDB",TRUE,"SC",2,11,0,98.18181818,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",1
2007002,"PLS0229/06","GILVAM BORGES","S","PMDB",TRUE,"AP",2,11,0,98.18181818,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",1
2007002,"PLS0229/06","PEDRO SIMON","S","PMDB",TRUE,"RS",2,11,0,98.18181818,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",1
2007002,"PLS0229/06","ALFREDO NASCIMENTO","S","PR",TRUE,"AM",2,11,0,98.18181818,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",1
2007002,"PLS0229/06","FERNANDO COLLOR","S","PTB",TRUE,"AL",2,11,0,98.18181818,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",1
2007002,"PLS0229/06","JOAO VICENTE CLAUDINO","S","PTB",TRUE,"PI",2,11,0,98.18181818,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",1
2007002,"PLS0229/06","JONAS PINHEIRO","S","PFL/DEM",FALSE,"MT",2,11,0,98.18181818,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",1
2007002,"PLS0229/06","ROMERO JUCA","S","PMDB",TRUE,"RR",2,11,0,98.18181818,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",1
2007002,"PLS0229/06","TIAO VIANA","S","PT",TRUE,"AC",2,11,0,98.18181818,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",1
2007002,"PLS0229/06","HERACLITO FORTES","S","PFL/DEM",FALSE,"PI",2,11,0,98.18181818,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",1
2007002,"PLS0229/06","GARIBALDI ALVES FILHO","S","PMDB",TRUE,"RN",2,11,0,98.18181818,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",1
2007002,"PLS0229/06","MARCELO CRIVELLA","S","PRB",TRUE,"RJ",2,11,0,98.18181818,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",1
2007002,"PLS0229/06","LUCIA VANIA","S","PSDB",FALSE,"GO",2,11,0,98.18181818,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",1
2007002,"PLS0229/06","SERGIO ZAMBIASI","S","PTB",TRUE,"RS",2,11,0,98.18181818,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",1
2007002,"PLS0229/06","VALDIR RAUPP","S","PMDB",TRUE,"RO",2,11,0,98.18181818,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",1
2007002,"PLS0229/06","JOSE AGRIPINO","S","PFL/DEM",FALSE,"RN",2,11,0,98.18181818,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",1
2007002,"PLS0229/06","ROSEANA SARNEY","S","PMDB",TRUE,"MA",2,11,0,98.18181818,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",1
2007002,"PLS0229/06","MARISA SERRANO","S","PSDB",FALSE,"MS",2,11,0,98.18181818,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",1
2007002,"PLS0229/06","MAGNO MALTA","S","PR",TRUE,"ES",2,11,0,98.18181818,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",1
2007002,"PLS0229/06","PATRICIA SABOYA","S","PSB",TRUE,"CE",2,11,0,98.18181818,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",1
2007002,"PLS0229/06","PAULO PAIM","S","PT",TRUE,"RS",2,11,0,98.18181818,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",1
2007002,"PLS0229/06","ALVARO DIAS","S","PSDB",FALSE,"PR",2,11,0,98.18181818,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",1
2007002,"PLS0229/06","GERSON CAMATA","S","PMDB",TRUE,"ES",2,11,0,98.18181818,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",1
2007002,"PLS0229/06","SERYS SLHESSARENKO","S","PT",TRUE,"MT",2,11,0,98.18181818,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",1
2007002,"PLS0229/06","TASSO JEREISSATI","S","PSDB",FALSE,"CE",2,11,0,98.18181818,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",1
2007002,"PLS0229/06","FLAVIO ARNS","S","PT",TRUE,"PR",2,11,0,98.18181818,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",1
2007002,"PLS0229/06","JOSE MARANHAO","S","PMDB",TRUE,"PB",2,11,0,98.18181818,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",1
2007002,"PLS0229/06","MAO SANTA","S","PMDB",TRUE,"PI",2,11,0,98.18181818,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",1
2007003,"PLS0229/06","PAULO PAIM","S","PT",TRUE,"RS",2,11,0,98.21428571,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",2
2007003,"PLS0229/06","MARIO COUTO","S","PSDB",FALSE,"PA",2,11,0,98.21428571,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",2
2007003,"PLS0229/06","JOAO VICENTE CLAUDINO","S","PTB",TRUE,"PI",2,11,0,98.21428571,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",2
2007003,"PLS0229/06","MARISA SERRANO","S","PSDB",FALSE,"MS",2,11,0,98.21428571,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",2
2007003,"PLS0229/06","ROMERO JUCA","S","PMDB",TRUE,"RR",2,11,0,98.21428571,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",2
2007003,"PLS0229/06","ROSEANA SARNEY","S","PMDB",TRUE,"MA",2,11,0,98.21428571,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",2
2007003,"PLS0229/06","IDELI SALVATTI","S","PT",TRUE,"SC",2,11,0,98.21428571,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",2
2007003,"PLS0229/06","MAO SANTA","S","PMDB",TRUE,"PI",2,11,0,98.21428571,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",2
2007003,"PLS0229/06","FLAVIO ARNS","S","PT",TRUE,"PR",2,11,0,98.21428571,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",2
2007003,"PLS0229/06","JOAO RIBEIRO","S","PR",TRUE,"TO",2,11,0,98.21428571,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",2
2007003,"PLS0229/06","VALDIR RAUPP","S","PMDB",TRUE,"RO",2,11,0,98.21428571,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",2
2007003,"PLS0229/06","SERGIO ZAMBIASI","S","PTB",TRUE,"RS",2,11,0,98.21428571,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",2
2007003,"PLS0229/06","TASSO JEREISSATI","S","PSDB",FALSE,"CE",2,11,0,98.21428571,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",2
2007003,"PLS0229/06","JEFFERSON PERES","S","PDT",FALSE,"AM",2,11,0,98.21428571,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",2
2007003,"PLS0229/06","TIAO VIANA","S","PT",TRUE,"AC",2,11,0,98.21428571,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",2
2007003,"PLS0229/06","ALMEIDA LIMA","S","PMDB",TRUE,"SE",2,11,0,98.21428571,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",2
2007003,"PLS0229/06","DELCIDIO DO AMARAL","S","PT",TRUE,"MS",2,11,0,98.21428571,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",2
2007003,"PLS0229/06","ALOIZIO MERCADANTE","S","PT",TRUE,"SP",2,11,0,98.21428571,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",2
2007003,"PLS0229/06","JOSE AGRIPINO","S","PFL/DEM",FALSE,"RN",2,11,0,98.21428571,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",2
2007003,"PLS0229/06","EFRAIM MORAIS","S","PFL/DEM",FALSE,"PB",2,11,0,98.21428571,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",2
2007003,"PLS0229/06","DEMOSTENES TORRES","S","PFL/DEM",FALSE,"GO",2,11,0,98.21428571,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",2
2007003,"PLS0229/06","EDUARDO AZEREDO","S","PSDB",FALSE,"MG",2,11,0,98.21428571,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",2
2007003,"PLS0229/06","CESAR BORGES","S","PFL/DEM",FALSE,"BA",2,11,0,98.21428571,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",2
2007003,"PLS0229/06","CRISTOVAM BUARQUE","S","PDT",FALSE,"DF",2,11,0,98.21428571,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",2
2007003,"PLS0229/06","MOZARILDO CAVALCANTI","S","PTB",TRUE,"RR",2,11,0,98.21428571,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",2
2007003,"PLS0229/06","GERSON CAMATA","S","PMDB",TRUE,"ES",2,11,0,98.21428571,"S",1,"Bestows capacity on the organs that audit insurance and pension plans to also audit and check the investments made with the resources of such plans.",2
